Cust. attr. 8;Cust. attr. Bez;Customer;Customer Bez.;Customer Classification;Customer Classification Bez.;Jahr;Accounting period;Accounting period Bez.;Product technology [2];Product technology [2] Bez.;Absatz;Zeitraum
O01;Herbert Manschein;61100623;Josef Schönthaler BetriebsgmbH;1;Installateur;2016;1;January;12;WHB;1;201601
O01;Herbert Manschein;61100623;Josef Schönthaler BetriebsgmbH;1;Installateur;2016;1;January;73;Heat pumps;1;201601
O01;Herbert Manschein;61100945;Schmoiger Christian;1;Installateur;2016;1;January;73;Heat pumps;1;201601
O01;Herbert Manschein;61101754;GSN Installationen GmbH;1;Installateur;2016;1;January;12;WHB;1;201601
O01;Herbert Manschein;61102344;KeFa Keri & Fahrner GmbH;65;65;2016;1;January;12;WHB;4;201601
O01;Herbert Manschein;61120059;Bürger GmbH;1;Installateur;2016;1;January;12;WHB;1;201601
O01;Herbert Manschein;61120148;Baldauf Gebäudetechnik GmbH;1;Installateur;2016;1;January;11;WHB;1;201601
O01;Herbert Manschein;61180034;Konrad Hlawatsch Ges.m.b.H;1;Installateur;2016;1;January;12;WHB;1;201601
O01;Herbert Manschein;61210449;HEIKO Heinz Kopp GmbH;1;Installateur;2016;1;January;12;WHB;1;201601
O01;Herbert Manschein;61240069;Nöst GmbH & Co KG;1;Installateur;2016;1;January;73;Heat pumps;0;201601
O01;Herbert Manschein;61380034;Ziegler Gmbh.;1;Installateur;2016;1;January;11;WHB;1;201601
O03;Michael Simeoni;61100276;Erge Beranek GmbH;1;Installateur;2016;1;January;12;WHB;1;201601
O03;Michael Simeoni;61101047;Karl Heinz Eisner;1;Installateur;2016;1;January;11;WHB;1;201601
O03;Michael Simeoni;61102003;Wöss Installationen GmbH;1;Installateur;2016;1;January;11;WHB;23;201601
O03;Michael Simeoni;61103035;Cibo Installationen KG;1;Installateur;2016;1;January;73;Heat pumps;1;201601
O03;Michael Simeoni;61110016;Appel GesmbH;75;75;2016;1;January;11;WHB;2;201601
O03;Michael Simeoni;61110016;Appel GesmbH;75;75;2016;1;January;12;WHB;0;201601
O03;Michael Simeoni;61180064;Hunger Hans GesmbH;1;Installateur;2016;1;January;11;WHB;1;201601
O03;Michael Simeoni;61210096;Klima GmbH;1;Installateur;2016;1;January;11;WHB;1;201601
O03;Michael Simeoni;61210096;Klima GmbH;1;Installateur;2016;1;January;12;WHB;1;201601
O03;Michael Simeoni;61280034;Peter Riedel GmbH;1;Installateur;2016;1;January;11;WHB;0;201601
O03;Michael Simeoni;61302265;Klas Karl;1;Installateur;2016;1;January;11;WHB;1;201601
O03;Michael Simeoni;61302266;Kalt Warm - Installationen;1;Installateur;2016;1;January;73;Heat pumps;3;201601
O03;Michael Simeoni;61302412;Appel GesmbH;75;75;2016;1;January;12;WHB;1;201601
O03;Michael Simeoni;61302418;Reinhard Regner e.U.;1;Installateur;2016;1;January;12;WHB;-1;201601
O03;Michael Simeoni;61302444;HOMA Installationen;1;Installateur;2016;1;January;12;WHB;2;201601
O03;Michael Simeoni;61302686;ISC Installateur Center;76;76;2016;1;January;12;WHB;1;201601
O03;Michael Simeoni;61340017;Ronald Vysoky GmbH;1;Installateur;2016;1;January;11;WHB;13;201601
O03;Michael Simeoni;61340017;Ronald Vysoky GmbH;1;Installateur;2016;1;January;12;WHB;1;201601
O03;Michael Simeoni;61401648;Hakan Yükseloglu;1;Installateur;2016;1;January;12;WHB;1;201601
O03;Michael Simeoni;61401755;Heiztechnik Simon;1;Installateur;2016;1;January;11;WHB;2;201601
O03;Michael Simeoni;61402384;Ahmet Colak;1;Installateur;2016;1;January;12;WHB;1;201601
