Partner-/Kundenummer;Datum;Datumformat
61305157;20.10.2017;20171020
61350133;20.10.2017;20171020
61403523;20.10.2017;20171020
61103473;20.10.2017;20171020
61102254;20.10.2017;20171020
61620603;20.10.2017;20171020
61603069;20.10.2017;20171020
61190071;20.10.2017;20171020
61100785;20.10.2017;20171020
61302336;20.10.2017;20171020
61402682;20.10.2017;20171020
61303159;20.10.2017;20171020
61300330;20.10.2017;20171020
61200009;20.10.2017;20171020
61302675;20.10.2017;20171020
61304858;20.10.2017;20171020
61103677;20.10.2017;20171020
61402533;20.10.2017;20171020
61230191;20.10.2017;20171020
61302739;20.10.2017;20171020
61302492;20.10.2017;20171020
61240069;20.10.2017;20171020
61403327;20.10.2017;20171020
61402484;20.10.2017;20171020
61401564;20.10.2017;20171020
61210150;20.10.2017;20171020
61100744;21.10.2017;20171021
61403482;22.10.2017;20171022
61236649;22.10.2017;20171022
61402607;22.10.2017;20171022
61303397;23.10.2017;20171023
61210043;23.10.2017;20171023
61104151;23.10.2017;20171023
61180115;23.10.2017;20171023
61120277;23.10.2017;20171023
61627162;23.10.2017;20171023
61170038;23.10.2017;20171023
61402076;23.10.2017;20171023
61300308;23.10.2017;20171023
61306087;23.10.2017;20171023
61403176;23.10.2017;20171023
61180466;23.10.2017;20171023
61633408;23.10.2017;20171023
61120009;23.10.2017;20171023
61260165;23.10.2017;20171023
61305450;23.10.2017;20171023
61403168;23.10.2017;20171023
61340037;23.10.2017;20171023
61101048;23.10.2017;20171023
61305747;23.10.2017;20171023
61402542;23.10.2017;20171023
61170213;23.10.2017;20171023
61401499;23.10.2017;20171023
61340019;23.10.2017;20171023
61100551;23.10.2017;20171023
61102890;23.10.2017;20171023
61210199;23.10.2017;20171023
61308898;23.10.2017;20171023
61210109;23.10.2017;20171023
61403578;23.10.2017;20171023
61633351;23.10.2017;20171023
61180190;23.10.2017;20171023
61303763;23.10.2017;20171023
61600223;23.10.2017;20171023
61100996;23.10.2017;20171023
61633066;23.10.2017;20171023
61600141;23.10.2017;20171023
61260271;23.10.2017;20171023
61290002;23.10.2017;20171023
61104467;23.10.2017;20171023
61280269;23.10.2017;20171023
61236484;23.10.2017;20171023
61302825;23.10.2017;20171023
61290184;23.10.2017;20171023
61103235;23.10.2017;20171023
61401149;23.10.2017;20171023
61200031;23.10.2017;20171023
61230033;23.10.2017;20171023
61104256;23.10.2017;20171023
61402501;23.10.2017;20171023
61302034;23.10.2017;20171023
61104351;23.10.2017;20171023
61302612;23.10.2017;20171023
61403548;23.10.2017;20171023
61103256;23.10.2017;20171023
61402827;23.10.2017;20171023
61302021;23.10.2017;20171023
61402750;23.10.2017;20171023
61303725;23.10.2017;20171023
61102872;23.10.2017;20171023
61320067;23.10.2017;20171023
61401187;23.10.2017;20171023
61103089;23.10.2017;20171023
61110145;23.10.2017;20171023
61236564;23.10.2017;20171023
61402733;23.10.2017;20171023
61303954;23.10.2017;20171023
61304208;23.10.2017;20171023
61220082;23.10.2017;20171023
61633408;23.10.2017;20171023
61110049;23.10.2017;20171023
61401336;23.10.2017;20171023
61350067;23.10.2017;20171023
61402763;23.10.2017;20171023
61170166;23.10.2017;20171023
61120269;23.10.2017;20171023
61690452;23.10.2017;20171023
61180248;23.10.2017;20171023
61160073;23.10.2017;20171023
61101372;23.10.2017;20171023
61290010;23.10.2017;20171023
61236379;23.10.2017;20171023
61303199;23.10.2017;20171023
61403279;23.10.2017;20171023
61100630;23.10.2017;20171023
61403535;23.10.2017;20171023
61101156;23.10.2017;20171023
61305612;23.10.2017;20171023
61210096;23.10.2017;20171023
61302418;23.10.2017;20171023
61302310;23.10.2017;20171023
61101213;23.10.2017;20171023
61300004;23.10.2017;20171023
61402189;23.10.2017;20171023
61120101;23.10.2017;20171023
61100901;24.10.2017;20171024
61120057;24.10.2017;20171024
61303447;24.10.2017;20171024
61260051;24.10.2017;20171024
61101187;24.10.2017;20171024
61306057;24.10.2017;20171024
61104258;24.10.2017;20171024
61303449;24.10.2017;20171024
61340023;24.10.2017;20171024
61103440;24.10.2017;20171024
61402266;24.10.2017;20171024
61302276;24.10.2017;20171024
61120076;24.10.2017;20171024
61170079;24.10.2017;20171024
61150171;24.10.2017;20171024
61402462;24.10.2017;20171024
61120052;24.10.2017;20171024
61401521;24.10.2017;20171024
61302936;24.10.2017;20171024
61280137;24.10.2017;20171024
61600330;24.10.2017;20171024
61609010;24.10.2017;20171024
61103079;24.10.2017;20171024
61300035;24.10.2017;20171024
61620624;24.10.2017;20171024
61140071;24.10.2017;20171024
61403573;24.10.2017;20171024
61609051;24.10.2017;20171024
61609287;24.10.2017;20171024
61609122;24.10.2017;20171024
61302740;24.10.2017;20171024
61403618;24.10.2017;20171024
61320101;24.10.2017;20171024
61210360;24.10.2017;20171024
61101299;24.10.2017;20171024
61320096;24.10.2017;20171024
61609163;24.10.2017;20171024
61620603;24.10.2017;20171024
61101298;24.10.2017;20171024
61102874;24.10.2017;20171024
61103776;24.10.2017;20171024
61110071;24.10.2017;20171024
61302982;24.10.2017;20171024
61303053;24.10.2017;20171024
61300269;24.10.2017;20171024
61302909;24.10.2017;20171024
61303450;24.10.2017;20171024
61320033;24.10.2017;20171024
61302917;24.10.2017;20171024
61401651;24.10.2017;20171024
61403604;24.10.2017;20171024
61401627;24.10.2017;20171024
61102892;24.10.2017;20171024
61403328;24.10.2017;20171024
61302484;24.10.2017;20171024
61310017;24.10.2017;20171024
61101319;24.10.2017;20171024
61102148;24.10.2017;20171024
61403451;24.10.2017;20171024
61302632;24.10.2017;20171024
61403238;24.10.2017;20171024
61402653;24.10.2017;20171024
61100190;24.10.2017;20171024
61100190;24.10.2017;20171024
61102555;24.10.2017;20171024
61350053;24.10.2017;20171024
61302030;24.10.2017;20171024
61236474;24.10.2017;20171024
61210584;24.10.2017;20171024
61180292;24.10.2017;20171024
61304561;24.10.2017;20171024
61110047;24.10.2017;20171024
61401442;24.10.2017;20171024
61403312;24.10.2017;20171024
61403313;24.10.2017;20171024
61402611;24.10.2017;20171024
61340042;24.10.2017;20171024
61630360;24.10.2017;20171024
61402526;24.10.2017;20171024
61402384;24.10.2017;20171024
61401239;24.10.2017;20171024
61403033;24.10.2017;20171024
61103051;24.10.2017;20171024
61160119;24.10.2017;20171024
61103795;24.10.2017;20171024
61401217;24.10.2017;20171024
61403289;24.10.2017;20171024
61180036;24.10.2017;20171024
61103113;24.10.2017;20171024
61150010;24.10.2017;20171024
