timeframe
Rolling 12m from;from;202012;to;202111
YTD;from;202101;to;202111

number of installers & units (without Grosshandel)
category;installers (12mr);units AY 12mr;units LY 12mr;units LLY 12mr;units AY ytd;units LY ytd;units LLY ytd;
Stable AY;303;2610;1970;1535;2441;1852;1444;
Stable LY;237;2149;1915;1620;2011;1802;1521;
Stable LLY;201;2020;1666;1707;1888;1561;1590;
New AY;188;317;0;46;295;0;43;
New LY;186;286;315;0;267;308;0;
New LLY;147;205;169;244;193;155;232;
Converted AY;93;175;0;42;160;0;42;
Converted LY;100;145;198;0;138;184;0;
Converted LLY;84;64;81;121;59;73;111;
Active AY (Stable+New+Converted);584;3102;1970;1623;2896;1852;1529;
Active LY (Stable+New+Converted);523;2580;2428;1620;2416;2294;1521;
Churn AY;36;67;227;157;66;213;144;
Churn LY;25;97;71;200;92;56;180;
Churn LLY;22;63;70;43;58;69;38;
Inactive AY;209;0;302;128;1;285;113;
Inactive LY;192;106;0;295;95;0;270;
Inactive LLY;164;115;89;0;105;83;0;
Prospect AY;1636;0;0;207;0;0;185;
Prospect LY;1725;386;0;0;360;0;0;
Prospect LLY;1847;702;424;0;660;409;0;
Reactivated Churn AY;14;92;44;119;87;32;107;
Reactivated Churn LY;18;61;70;36;57;69;35;
Reactivated Inactive AY;46;106;0;88;95;0;85;
Reactivated Inactive LY;52;73;89;0;66;83;0;
Reactivated Churn+Inactive AY;60;198;44;207;182;32;192;
Reactivated Churn+Inactive LY;70;134;159;36;123;152;35;

Plus/Minus YTD Units of AY in comparison to LY (without Grosshandel) ("Waterfall")
Churn+Inactives (AY YTD lost Units of Churn+Inactives AY12mr compared to LY YTD lost Units of Churn+Inactives LY12mr VS. LY YTD lost Units of Churn+Inactives LY12mr compared to LLY YTD lost Units of Churn+Inactives LLY12mr): ;-37
Reactivated Churn+Inactives (AY YTD Units of Reactivated Churn+Inactives AY12mr VS. LY YTD Units of Reactivated Churn+Inactives LY12mr): ;30
New (AY YTD Units of New AY12mr VS. LY YTD Units of New LY12mr): ;-13
Converted (AY YTD Units of Converted AY12mr VS. LY YTD Units of Converted& LY12mr): ;-24
Stable (AY YTD Units of Stable AY12mr VS. LY YTD Units of Stable LY12mr): ;639
New+Conv+Stables (AY YTD Units of New&Converted&Stable AY12mr VS. LY YTD Units of New&Converted&Stable LY12mr): ;602

Numbers of installers per channel with sales YTD (without Grosshandel)
Heating installers with sales YTD;541
Electro installers with sales YTD;46
AirCon installers with sales YTD;1
installers with sales YTD;588

Numbers of installers per Zielgruppe with sales YTD (without Grosshandel)
Fachhandwerker with sales YTD;594
Grosshandel with sales YTD;0
Projekt with sales YTD;5
Sonstiges with sales YTD;1
